,Title,imdbRating,Plot,Genre,Runtime in minutes,imdbVotes,totalSeasons,Drama,Horror,Action,History,War,Sci-Fi,Family,Biography,Crime,Thriller,Comedy,Fantasy,Mystery,Animation,Sport,Adventure,Documentary,Romance,Western,Day,Time,Network,Episodes,Hours
0,Mr. Robot,8.5,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Crime, Drama, Thriller",49,307790,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Sunday,22:00,USA Network,45,36.75
1,Peaky Blinders,8.8,"A gangster family epic set in 1919 Birmingham, England; centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Crime, Drama",60,263526,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Sunday,21:00,BBC One,30,30.0
2,Dark,8.7,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","Crime, Drama, Mystery, Sci-Fi, Thriller",60,160927,3,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,Friday,,Netflix,18,18.0
3,Breaking Bad,9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"Crime, Drama, Thriller",49,1313775,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Sunday,22:00,AMC,62,50.63
4,Game of Thrones,9.5,"Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.","Action, Adventure, Drama, Fantasy, Romance",57,1429496,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Sunday,21:00,HBO,73,69.35
5,The Walking Dead,8.2,"Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins, and must lead a group of survivors to stay alive.","Drama, Horror, Thriller",44,817703,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Sunday,21:00,AMC,146,107.07
6,True Detective,9.0,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Crime, Drama, Mystery, Thriller",55,464723,3,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Sunday,21:00,HBO,24,22.0
7,See,7.6,"Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins is born with sight.","Action, Drama, Sci-Fi",60,29802,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,,Apple TV+,8,8.0
8,The Simpsons,8.7,The satiric adventures of a working-class family in the misfit city of Springfield.,"Animation, Comedy",22,328282,31,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Sunday,20:00,FOX,684,250.8
9,Better Call Saul,8.7,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Crime, Drama",46,269519,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Monday,21:00,AMC,50,38.33
10,Westworld,8.7,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","Drama, Mystery, Sci-Fi, Western",62,375039,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,Sunday,21:00,HBO,28,28.93
11,The Good Doctor,8.2,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",Drama,41,51862,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,22:00,ABC,56,38.27
12,Vikings,8.6,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Action, Adventure, Drama, History, Romance, War",44,375652,6,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Wednesday,22:00,History,79,57.93
13,You,7.8,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","Crime, Drama, Romance, Thriller",45,109408,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Thursday,,Netflix,20,15.0
14,His Dark Materials,8.0,A young girl is destined to liberate her world from the grip of the Magisterium which represses people's ties to magic and their animal spirits known as daemons.,"Adventure, Drama, Family, Fantasy",60,31145,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,Sunday,20:00,BBC One,8,8.0
15,The Purge,6.4,"Set in an altered United States, several unrelated people discover how far they will go to survive a night where all crime is legal for 12 hours.","Action, Drama, Horror, Sci-Fi, Thriller",42,9769,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Tuesday,21:00,USA Network,20,14.0
16,The Witcher,8.3,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Action, Adventure, Drama, Fantasy, Horror, Mystery",60,229401,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Friday,,Netflix,8,8.0
17,Big Little Lies,8.5,"The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single-mother moves to their quaint Californian beach town.","Crime, Drama, Mystery",60,132090,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Sunday,21:00,HBO,14,14.0
18,The Wire,9.3,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Crime, Drama, Thriller",59,260549,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Sunday,21:00,HBO,60,59.0
19,Six Feet Under,8.7,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,"Comedy, Drama",55,114650,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Sunday,21:00,HBO,63,57.75
20,Big Love,7.5,A polygamist and his relationship with his three wives.,Drama,60,19488,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,21:00,HBO,53,53.0
21,Boardwalk Empire,8.5,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,"Crime, Drama, History",55,164862,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Sunday,21:00,HBO,56,51.33
22,Here and Now,6.8,"A dark dramedy about a progressive Portlandian family made up of husband, wife, three adopted children from Liberia, Vietnam and Colombia and one biological daughter who find their sanity tested and values challenged in 2018 America.","Comedy, Drama, Fantasy",60,4187,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Sunday,21:00,HBO,10,10.0
23,In Treatment,8.3,"A psychotherapist questions his abilities and gets help by reuniting with his old therapist, whom he has not seen for ten years.",Drama,25,14619,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,21:00,HBO,106,44.17
24,John from Cincinnati,7.1,"In Imperial Beach, California, the dysfunctional Yost family intersects with two new arrivals to the community: a dim-but-wealthy surfing enthusiast and man spurned by the Yosts years ago.",Drama,55,4537,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunday,21:00,HBO,10,9.17
25,Dracula,6.8,"In 1897 Transylvania, the blood-drinking Count draws his plans against Victorian London.","Drama, Horror",270,33989,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,21:00,BBC One,3,13.5
26,Kingdom,8.2,"While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","Action, Drama, Horror, Thriller",45,14259,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,Netflix,12,9.0
27,Servant,7.7,A Philadelphia couple is in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.,"Drama, Horror, Thriller",30,9576,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Friday,,Apple TV+,10,5.0
28,Truth Be Told,7.1,A true-crime podcaster tries to solve the mystery surrounding a family patriarch's death.,"Crime, Drama, Thriller",45,2724,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Friday,,Apple TV+,8,6.0
29,Watchmen,8.1,"Set in an alternate history where masked vigilantes are treated as outlaws, Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name, while attempting to break new ground of its own.","Action, Drama, Mystery, Sci-Fi",60,60918,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Sunday,21:00,HBO,9,9.0
30,Dirty Money,8.1,"A Netflix Original Series documenting various stories about exposing the greed, corruption, and crime spreading through the global economy.","Documentary, Crime",60,5596,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,Netflix,12,12.0
31,Prison Break,8.3,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","Action, Crime, Drama, Mystery, Thriller",44,444178,5,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Tuesday,21:00,FOX,88,64.53
32,Cable Girls,7.7,"Set in the 1920s, this is the story of four women from different backgrounds newly hired as operators for a phone company.",Drama,50,9423,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,,Netflix,37,30.83
33,Stranger Things,8.8,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",51,708312,3,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,Thursday,,Netflix,26,22.1
34,Sharp Objects,8.2,A reporter confronts the psychological demons from her past when she returns to her hometown to cover a violent murder.,"Crime, Drama, Mystery, Thriller",421,57091,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Sunday,21:00,HBO,8,56.13
35,Patrick Melrose,8.1,Based on the Patrick Melrose Novels by Edward St. Aubyn.,Drama,60,20485,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday,21:00,Showtime,5,5.0
36,Safe,7.3,"After his teenage daughter goes missing, a widowed surgeon begins uncovering dark secrets of the people closest to him.","Drama, Mystery",60,24902,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Thursday,,Netflix,8,8.0
37,The Rain,6.3,"After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety.","Sci-Fi, Thriller",45,24231,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Friday,,Netflix,14,10.5
38,Seven Seconds,7.7,Tensions run high between African American citizens and Caucasian cops in Jersey City when a teenage African American boy is critically injured by a cop.,"Crime, Drama",60,11688,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Friday,,Netflix,10,10.0
39,The Sinner,8.0,Anthology series that examines how and why ordinary people commit brutal crimes.,"Crime, Drama, Mystery, Thriller",45,67442,3,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Thursday,22:00,USA Network,24,18.0
40,Britannia,6.7,"In 43 AD, the Roman Army returns to crush the Celtic heart of Britannia.","Action, Drama, Fantasy",60,10624,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Thursday,,Sky Go,19,19.0
41,Atypical,8.3,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.","Comedy, Drama",30,49797,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Friday,,Netflix,28,14.0
42,13 Reasons Why,7.8,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","Drama, Mystery",60,232871,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Friday,,Netflix,39,39.0
43,The Good Fight,8.3,"When Diane Lockhart's life savings are lost, she must start from scratch at a new firm.","Crime, Drama",45,16768,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Thursday,,CBS All Access,36,27.0
44,Dope,7.3,"Ride along for an uncompromising look at the lives of those who sell, use and wage a war on drugs in the U.S. and Mexico.","Documentary, Crime",45,1307,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Friday,,Netflix,12,9.0
45,The Punisher,8.5,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.","Action, Adventure, Crime, Drama, Sci-Fi, Thriller",53,165510,2,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,Friday,,Netflix,26,22.97
46,Bad Blood,7.5,A dramatization of the life and death of Montreal mob boss Vito Rizzuto.,"Crime, Drama",47,5949,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Thursday,20:00,City,14,10.97
47,Genius,8.4,"The life stories of history's greatest minds. From their days as young adults to their final years we see their discoveries, loves, relationships, causes, flaws and genius.","Biography, Drama, History",43,14960,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,21:00,National Geographic Channel,28,20.07
48,Godless,8.3,"In the 1880s American West murderous outlaw gang leader Frank Griffin hunts for ex-protege Roy Goode. Frank's chase leads him to La Belle, New Mexico - a town inhabited, after a mining disaster, almost entirely by women.","Drama, Western",60,43754,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Wednesday,,Netflix,7,7.0
49,The Crown,8.7,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,"Drama, History",58,106329,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunday,,Netflix,30,29.0
50,Preacher,8.0,"After a supernatural event at his church, a preacher enlists the help of a vampire and his ex to find God.","Adventure, Drama, Fantasy, Horror, Mystery",60,63235,4,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Sunday,22:00,AMC,43,43.0
51,Lucifer,8.2,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Crime, Drama, Fantasy",42,184602,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Wednesday,,Netflix,83,58.1
52,Shooter,7.5,"A conspiracy thriller that follows the journey of Bob Lee Swagger, a highly-decorated veteran who is coaxed back into action to prevent a plot to kill the President.","Action, Drama",60,28380,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,22:00,USA Network,31,31.0
53,American Crime Story,8.4,An anthology series centered around America's most notorious crimes and criminals.,"Biography, Crime, Drama",42,73442,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Sunday,22:00,FX,20,14.0
54,11.22.63,8.2,A high school teacher travels back in time to prevent John F. Kennedy's assassination.,"Drama, Mystery, Sci-Fi, Thriller",60,65279,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Monday,,Hulu,8,8.0
55,Sneaky Pete,8.2,"A con man on the run from a vicious gangster takes cover by assuming the identity of his prison cellmate, Pete, reuniting with his estranged family, that threatens to drag him into a world just as dangerous as the one he's escaping.","Crime, Drama",60,26493,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Friday,,Amazon Prime,30,30.0
56,Jessica Jones,8.0,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.","Action, Crime, Drama, Sci-Fi, Thriller",56,183998,3,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Friday,,Netflix,39,36.4
57,Narcos,8.8,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Biography, Crime, Drama, Thriller",49,321232,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Friday,,Netflix,30,24.5
58,The Flash,7.8,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City.","Action, Adventure, Drama, Sci-Fi",43,292203,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Tuesday,20:00,The CW,134,96.03
