,Title,imdbRating,Plot,Genre,Day,Time,Network,Hours,Runtime in minutes,imdbVotes,totalSeasons,Documentary,Animation,Thriller,War,Comedy,Crime,Drama,Action,Fantasy,Western,Family,Romance,Biography,History,Mystery,Sport,Sci-Fi,Adventure,Horror,Episodes
26,Kingdom,8.2,"While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","Action, Drama, Horror, Thriller",??,??,Netflix,9.0,45,14259,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,12
27,Servant,7.7,A Philadelphia couple is in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.,"Drama, Horror, Thriller",Friday,??,Apple TV+,5.0,30,9576,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10
28,Truth Be Told,7.1,A true-crime podcaster tries to solve the mystery surrounding a family patriarch's death.,"Crime, Drama, Thriller",Friday,??,Apple TV+,6.0,45,2724,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8
29,Watchmen,8.1,"Set in an alternate history where masked vigilantes are treated as outlaws, Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name, while attempting to break new ground of its own.","Action, Drama, Mystery, Sci-Fi",Sunday,21:00,HBO,9.0,60,60918,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,9
30,Dirty Money,8.1,"A Netflix Original Series documenting various stories about exposing the greed, corruption, and crime spreading through the global economy.","Documentary, Crime",??,??,Netflix,12.0,60,5596,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
31,Prison Break,8.3,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","Action, Crime, Drama, Mystery, Thriller",Tuesday,21:00,FOX,64.53,44,444178,5,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,88
32,Cable Girls,7.7,"Set in the 1920s, this is the story of four women from different backgrounds newly hired as operators for a phone company.",Drama,Friday,??,Netflix,30.83,50,9423,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37
33,Stranger Things,8.8,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",Thursday,??,Netflix,22.1,51,708312,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,26
34,Sharp Objects,8.2,A reporter confronts the psychological demons from her past when she returns to her hometown to cover a violent murder.,"Crime, Drama, Mystery, Thriller",Sunday,21:00,HBO,56.13,421,57091,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,8
35,Patrick Melrose,8.1,Based on the Patrick Melrose Novels by Edward St. Aubyn.,Drama,Saturday,21:00,Showtime,5.0,60,20485,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
36,Safe,7.3,"After his teenage daughter goes missing, a widowed surgeon begins uncovering dark secrets of the people closest to him.","Drama, Mystery",Thursday,??,Netflix,8.0,60,24902,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8
37,The Rain,6.3,"After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety.","Sci-Fi, Thriller",Friday,??,Netflix,10.5,45,24231,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
38,Seven Seconds,7.7,Tensions run high between African American citizens and Caucasian cops in Jersey City when a teenage African American boy is critically injured by a cop.,"Crime, Drama",Friday,??,Netflix,10.0,60,11688,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10
39,The Sinner,8.0,Anthology series that examines how and why ordinary people commit brutal crimes.,"Crime, Drama, Mystery, Thriller",Thursday,22:00,USA Network,18.0,45,67442,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,24
40,Britannia,6.7,"In 43 AD, the Roman Army returns to crush the Celtic heart of Britannia.","Action, Drama, Fantasy",Thursday,??,Sky Go,19.0,60,10624,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,19
41,Atypical,8.3,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.","Comedy, Drama",Friday,??,Netflix,14.0,30,49797,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28
42,13 Reasons Why,7.8,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","Drama, Mystery",Friday,??,Netflix,39.0,60,232871,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,39
43,The Good Fight,8.3,"When Diane Lockhart's life savings are lost, she must start from scratch at a new firm.","Crime, Drama",Thursday,??,CBS All Access,27.0,45,16768,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36
44,Dope,7.3,"Ride along for an uncompromising look at the lives of those who sell, use and wage a war on drugs in the U.S. and Mexico.","Documentary, Crime",Friday,??,Netflix,9.0,45,1307,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
45,The Punisher,8.5,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.","Action, Adventure, Crime, Drama, Sci-Fi, Thriller",Friday,??,Netflix,22.97,53,165510,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,26
46,Bad Blood,7.5,A dramatization of the life and death of Montreal mob boss Vito Rizzuto.,"Crime, Drama",Thursday,20:00,City,10.97,47,5949,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14
47,Genius,8.4,"The life stories of history's greatest minds. From their days as young adults to their final years we see their discoveries, loves, relationships, causes, flaws and genius.","Biography, Drama, History",??,21:00,National Geographic Channel,20.07,43,14960,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,28
48,Godless,8.3,"In the 1880s American West murderous outlaw gang leader Frank Griffin hunts for ex-protege Roy Goode. Frank's chase leads him to La Belle, New Mexico - a town inhabited, after a mining disaster, almost entirely by women.","Drama, Western",Wednesday,??,Netflix,7.0,60,43754,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7
49,The Crown,8.7,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,"Drama, History",Sunday,??,Netflix,29.0,58,106329,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,30
50,Preacher,8.0,"After a supernatural event at his church, a preacher enlists the help of a vampire and his ex to find God.","Adventure, Drama, Fantasy, Horror, Mystery",Sunday,22:00,AMC,43.0,60,63235,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,43
51,Lucifer,8.2,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Crime, Drama, Fantasy",Wednesday,??,Netflix,58.1,42,184602,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,83
52,Shooter,7.5,"A conspiracy thriller that follows the journey of Bob Lee Swagger, a highly-decorated veteran who is coaxed back into action to prevent a plot to kill the President.","Action, Drama",Thursday,22:00,USA Network,31.0,60,28380,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,31
53,American Crime Story,8.4,An anthology series centered around America's most notorious crimes and criminals.,"Biography, Crime, Drama",Sunday,22:00,FX,14.0,42,73442,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,20
54,11.22.63,8.2,A high school teacher travels back in time to prevent John F. Kennedy's assassination.,"Drama, Mystery, Sci-Fi, Thriller",Monday,??,Hulu,8.0,60,65279,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,8
55,Sneaky Pete,8.2,"A con man on the run from a vicious gangster takes cover by assuming the identity of his prison cellmate, Pete, reuniting with his estranged family, that threatens to drag him into a world just as dangerous as the one he's escaping.","Crime, Drama",Friday,??,Amazon Prime,30.0,60,26493,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30
56,Jessica Jones,8.0,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.","Action, Crime, Drama, Sci-Fi, Thriller",Friday,??,Netflix,36.4,56,183998,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,39
57,Narcos,8.8,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Biography, Crime, Drama, Thriller",Friday,??,Netflix,24.5,49,321232,3,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,30
58,The Flash,7.8,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City.","Action, Adventure, Drama, Sci-Fi",Tuesday,20:00,The CW,96.03,43,292203,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,134
59,Power,8.2,"James ""Ghost"" St. Patrick, a wealthy New York night club owner who has it all, catering to the city's elite and dreaming big, lives a double life as a drug kingpin.","Crime, Drama",Sunday,20:00,Starz,52.5,50,36339,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,63
60,Silicon Valley,8.5,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",Comedy,Sunday,22:00,HBO,24.73,28,114859,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
61,Fargo,8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Crime, Drama, Thriller",Sunday,22:00,FX,26.5,53,292957,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30
62,Ray Donovan,8.3,"Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family.","Crime, Drama",Sunday,20:00,Showtime,82.0,60,73295,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,82
63,The Blacklist,8.0,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","Crime, Drama, Mystery, Thriller",Friday,20:00,NBC,108.93,43,175625,8,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,152
64,House of Cards,8.8,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,Drama,Friday,??,Netflix,62.05,51,446426,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73
65,Utopia,8.4,"After a group of people, who meet online, discover a bizarre graphic novel which seems to hold mysterious answers, they find themselves being tracked down by a merciless organization known merely as 'The Network'.","Drama, Mystery, Sci-Fi, Thriller",Wednesday,21:00,ABC,26.67,50,36741,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,32
66,Generation War,8.5,Five friends go out to war and promise each other to be back for Christmas.,"Action, Drama, History, War",Monday,20:15,ZDF,13.5,270,23240,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3
67,Suits,8.5,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross, finds himself working with Harvey Specter, one of New York City's best lawyers.","Comedy, Drama",Wednesday,21:00,USA Network,98.27,44,341915,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,134
68,The Bridge,7.6,Two detectives work together to take down a serial killer operating on both sides of the Texas-Chihuahua border.,"Crime, Drama, Mystery, Thriller",Wednesday,22:00,FX,18.63,43,17180,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,26
69,Black Mirror,8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Drama, Sci-Fi, Thriller",Wednesday,??,Netflix,21.0,60,381497,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21
70,Luther,8.5,DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.,"Crime, Drama, Mystery, Thriller",??,21:00,BBC One,20.0,60,112083,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,20
71,The Mentalist,8.1,"A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughter.","Crime, Drama, Mystery, Thriller",Sunday,22:00,CBS,108.22,43,157189,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,151
72,Generation Kill,8.5,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.","Drama, War",Sunday,21:00,HBO,8.17,70,45035,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
73,Planet Earth,9.4,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",Documentary,Sunday,21:00,BBC One,98.63,538,157420,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
74,The Lost Room,8.2,"A detective investigates a mysterious motel room, which acts as a portal to an alternate universe.","Action, Fantasy, Mystery, Sci-Fi",Wednesday,21:00,Syfy,13.5,270,27732,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,3
75,Doctor Who,8.6,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Adventure, Drama, Family, Mystery, Sci-Fi",Sunday,19:10,BBC One,110.25,45,191327,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,147
76,The Office,8.8,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",Comedy,Thursday,21:00,NBC,73.7,22,336875,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201
77,Supernatural,8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","Drama, Fantasy, Horror, Mystery, Thriller",Monday,20:00,The CW,239.8,44,368857,15,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,327
78,Deadwood,8.6,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.","Crime, Drama, History, Western",??,21:00,HBO,33.0,55,89353,3,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,36
79,Amazing Stories,7.4,"Truly amazing, fantastical, funny, and odd, and sometimes scary, sad, and endearing stories are portrayed. Many famous actors, actresses, and directors made guest appearances.","Adventure, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",Friday,??,Apple TV+,2.5,30,4773,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,5
80,Devs,8.1,"A computer engineer investigates the secretive development division in her company, which she believes is behind the disappearance of her boyfriend.","Drama, Mystery, Sci-Fi, Thriller",??,??,Hulu,6.67,50,1214,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,8
81,The New Pope,8.2,Two Popes. Only one Vatican. A holy war to come.,Drama,Friday,22:15,Sky Atlantic,9.0,60,4798,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
82,The Outsider,8.4,Investigators are confounded over an unspeakable crime that's been committed.,"Crime, Drama, Mystery, Thriller",Sunday,21:00,HBO,10.0,60,24528,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,10
83,Prodigal Son,7.6,"Malcolm Bright, one of the best criminal psychologists around, uses his twisted genius to help the NYPD solve crimes.","Crime, Drama, Mystery, Thriller",Monday,21:00,FOX,14.67,44,6472,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,20
84,Bard of Blood,7.4,"Political espionage thriller based on ""Bard of Blood,"" by Bilal Siddiqi.","Action, Adventure, Drama, Thriller",Friday,??,Netflix,5.25,45,7531,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,7
85,Unbelievable,8.5,"Based on the true story of Marie, a teenager who was charged with lying about having been raped, and the two female detectives who followed the path to the truth.","Crime, Drama",Friday,??,Netflix,51.33,385,49860,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8
86,Pose,8.6,"Pose is set in the world of 1987 and ""looks at the juxtaposition of several segments of life and society in New York: the rise of the luxury universe, the downtown social and literary scene and the ball culture world.""",Drama,Tuesday,22:00,FX,18.0,60,13957,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18
87,Killing Eve,8.3,"After a series of events, the lives of a security operative and an assassin become inextricably linked.","Action, Adventure, Drama, Thriller",Sunday,21:00,BBC America,13.3,42,61494,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,19
88,Homecoming,7.5,"Heidi works at Homecoming, a facility helping soldiers transition to civilian life. Years later when the Department of Defense questions why she left, Heidi realizes there's a whole other story behind the one she's been telling herself.","Drama, Thriller",??,??,Amazon Prime,5.5,30,14934,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
89,Masum,8.6,"Cevdet (Haluk Bilginer), a retired commissioner, and his wife spend their pensions in peace on a farm away from the city. Suddenly the life of the family is destroyed by the sudden arrival of a terrible news from the little son.","Crime, Drama, Mystery",Friday,??,BluTV,8.0,60,10147,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,8
90,Harlots,7.7,Brothel owner Margaret Wells struggles to raise her daughters in London during the 18th century.,Drama,Wednesday,??,Hulu,18.0,45,5540,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24
91,Mindhunter,8.6,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","Crime, Drama, Thriller",Friday,??,Netflix,19.0,60,176961,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19
92,This Is Us,8.7,"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.","Comedy, Drama, Romance",Tuesday,21:00,NBC,54.0,45,88557,4,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,72
93,Channel Zero,7.2,"An anthology series based on popular Internet Creepypastas Candle Cove, The No-End House, Butcher's Block, and The Dream Door.","Drama, Fantasy, Horror, Mystery, Thriller",??,23:00,Syfy,17.6,44,8082,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,24
94,The Exorcist,8.1,Follows three priests dealing with cases of a demonic presence targeting a family and a foster home.,"Drama, Horror, Mystery, Thriller",Friday,21:00,FOX,15.0,45,23398,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,20
95,Sense8,8.3,"A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order.","Drama, Mystery, Sci-Fi, Thriller",Friday,??,Netflix,22.0,60,129874,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,22
96,BoJack Horseman,8.7,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","Animation, Comedy, Drama",Friday,??,Netflix,31.67,25,87606,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76
97,Friends,8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"Comedy, Romance",Thursday,20:00,NBC,86.53,22,741723,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,236
98,Mrs. Fletcher,6.9,A single mom whose son has moved out for college looks to begin a new life on her own.,Comedy,Sunday,22:30,HBO,3.62,31,2675,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
99,The Newsroom,8.6,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",Drama,Sunday,21:00,HBO,22.92,55,98921,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25
100,Mad Men,8.6,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",Drama,Sunday,22:00,AMC,72.07,47,190101,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92
101,Arli$$,7.0,"Arliss Michaels is not a sports agent, he is a sports super agent. To his team of associates, the athletes he represents and the world around them, he is God. He is like Jerry Maguire, but ...","Comedy, Sport",Saturday,??,HBO,40.0,30,1201,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80
